Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_Cases,Recovery_Rate,Total_cases,Death_Rate
Belarus,538,60492,6221,119.0,4.0,67,0.8,89.95,0.89,66213,1038,1.57,134692.0,44.91135330977341,67251,0.7999881042661077
Belgium,9822,17452,39154,402.0,1.0,14,14.79,26.27,56.28,64094,2334,3.64,133273.0,13.09492545376783,66428,14.785933642439936
Belize,2,26,20,0.0,0.0,0,4.17,54.17,7.69,40,8,20.0,96.0,27.083333333333332,48,4.166666666666666
Benin,35,1036,699,0.0,0.0,0,1.98,58.53,3.38,1602,168,10.49,3540.0,29.265536723163844,1770,1.977401129943503
Bhutan,0,86,13,1282.7401129943503,30.401129943502823,1,0.0,86.87,0.0,90,9,10.0,1512.1412429378531,5.687299410795482,99,0.0
Bolivia,2647,21478,47056,1752.0,64.0,309,3.72,30.17,12.32,60991,10190,16.71,144487.0,14.86500515617322,71181,3.718688975990784
Bosnia and Herzegovina,294,4930,5274,731.0,14.0,375,2.8,46.96,5.96,8479,2019,23.81,22116.0,22.291553626333876,10498,2.8005334349399886
Botswana,2,63,674,53.0,1.0,11,0.27,8.53,3.17,522,217,41.57,1543.0,4.08295528191834,739,0.2706359945872801
Brazil,87618,1846641,508116,23284.0,614.0,33728,3.59,75.61,4.74,2118646,323729,15.28,4942376.0,37.3634260121043,2442375,3.5874097957930293
Brunei,3,138,0,0.0,0.0,0,2.13,97.87,2.17,141,0,0.0,282.0,48.93617021276596,141,2.127659574468085
Bulgaria,347,5585,4689,194.0,7.0,230,3.27,52.58,6.21,8929,1692,18.95,21673.0,25.76939048585798,10621,3.267112324639864
Burkina Faso,53,926,121,14.0,0.0,6,4.82,84.18,5.72,1065,35,3.29,2220.0,41.711711711711715,1100,4.818181818181818
Burma,6,292,52,0.0,0.0,2,1.71,83.43,2.05,341,9,2.64,702.0,41.5954415954416,350,1.7142857142857144
Burundi,1,301,76,17.0,0.0,22,0.26,79.63,0.33,322,56,17.39,795.0,37.86163522012579,378,0.26455026455026454
Cabo Verde,22,1550,756,21.0,0.0,103,0.95,66.58,1.42,2071,257,12.41,4780.0,32.42677824267782,2328,0.9450171821305842
Cambodia,0,147,79,1.0,0.0,4,0.0,65.04,0.0,171,55,32.16,457.0,32.16630196936542,226,0.0
Cameroon,391,14539,2180,402.0,6.0,0,2.29,84.97,2.69,16157,953,5.9,34628.0,41.986253898579186,17110,2.2852133255406195
Canada,8944,0,107514,682.0,11.0,0,7.68,0.0,inf,112925,3533,3.13,233609.0,0.0,116458,7.68002198217383
Central African Republic,59,1546,2994,0.0,0.0,0,1.28,33.62,3.82,4548,51,1.12,9198.0,16.808001739508587,4599,1.2828875842574472
Chad,75,810,37,7.0,0.0,0,8.13,87.85,9.26,889,33,3.71,1851.0,43.76012965964344,922,8.134490238611713
Chile,9187,319954,18782,2133.0,75.0,1859,2.64,91.96,2.87,333029,14894,4.47,699913.0,45.71339580776468,347923,2.640526783225024
China,4656,78869,3258,213.0,4.0,7,5.37,90.88,5.9,85622,1161,1.36,173790.0,45.38178261119742,86783,5.365106069161011
Colombia,8777,131161,117163,16306.0,508.0,11494,3.41,51.02,6.69,204005,53096,26.03,542510.0,24.17669720373818,257101,3.4138334740043796
Comoros,7,328,19,0.0,0.0,0,1.98,92.66,2.13,334,20,5.99,708.0,46.32768361581921,354,1.977401129943503
Congo (Brazzaville),54,829,2317,162.0,3.0,73,1.69,25.91,6.51,2851,349,12.24,6638.0,12.488701416089183,3200,1.6875
Congo (Kinshasa),208,5700,2936,13.0,4.0,190,2.35,64.45,3.65,8443,401,4.75,17895.0,31.852472757753564,8844,2.3518769787426503
Costa Rica,115,3824,11902,612.0,11.0,88,0.73,24.14,3.01,11534,4307,37.34,32393.0,11.805019603000648,15841,0.7259642699324538
Cote d'Ivoire,96,10361,5198,59.0,0.0,183,0.61,66.18,0.93,14312,1343,9.38,31552.0,32.83785496957404,15655,0.613222612583839
Croatia,139,3936,806,24.0,3.0,70,2.85,80.64,3.53,4370,511,11.69,9859.0,39.92291307434831,4881,2.8477770948576113
Cuba,87,2351,94,37.0,0.0,2,3.44,92.85,3.7,2446,86,3.52,5103.0,46.07093866353126,2532,3.4360189573459716
Cyprus,19,852,189,3.0,0.0,0,1.79,80.38,2.23,1038,22,2.12,2123.0,40.13188883655205,1060,1.7924528301886793
Czechia,373,11428,3715,192.0,2.0,0,2.4,73.65,3.26,14098,1418,10.06,31226.0,36.597707039005954,15516,2.4039700953854086
Denmark,613,12605,543,109.0,0.0,77,4.45,91.6,4.86,13453,308,2.29,27708.0,45.492276598816225,13761,4.454618123682872
Djibouti,58,4977,24,1282.7401129943503,30.401129943502823,11,1.15,98.38,1.17,5020,39,0.78,11442.141242937852,43.49710333345019,5059,1.1464716347104171
